id,y
10410,92.2628479
718,-225.2627106
5931,151.9540253
4083,-90.6449585
210,-44.47505188
6825,115.352005
13348,-301.3074493
10458,87.23487854
14295,223.6463013
196,147.0120544
2382,47.79013062
5617,1.722991943
11850,16.45294189
1175,-143.8298798
6868,43.38296509
10347,-174.6484375
13946,-86.30982971
1974,-48.87492371
12776,122.6340637
2715,-191.9455414
9583,50.64013672
742,143.9908142
5671,-81.2240448
5857,-150.9610596
6591,-211.3249054
6516,229.609436
9560,156.4125061
620,-149.4890594
1265,-37.46807861
11836,-72.64480591
10864,-51.19918823
5898,45.35473633
12181,-16.36186218
8975,140.0629578
976,173.5770416
14531,-48.87945557
1933,93.05838013
8460,51.58403015
3351,110.3892517
9272,-37.18417358
10461,-186.240097
3088,68.97491455
1870,-208.6005554
11306,-89.95977783
4802,225.5383453
7929,-121.0152435
4765,115.8783875
932,-177.0755157
9719,-65.51707458
9199,-281.8478394
7654,64.38244629
4763,-37.29570007
13774,53.14120483
4605,-39.23937988
2265,43.86549377
8992,172.7840424
9282,-115.3049469
13473,-15.71347046
11800,-100.3839417
2395,-35.51531982
688,70.52752686
8364,31.75532532
2258,93.25585938
5243,21.81625366
6855,-77.657547
12287,-47.49647522
4715,186.6855927
555,-73.41838074
12800,81.05397034
617,27.88352966
12631,54.93486023
528,-222.358139
482,-208.5375366
14296,-134.6694794
12710,-163.3017883
10738,-76.01365662
12005,390.5477448
2300,-93.69595337
4421,66.17677307
5496,93.93141174
10026,258.3014984
14394,-40.43165588
3681,-163.5955811
7256,-18.73791504
6075,-65.48950195
13184,-104.0594482
14964,204.5381622
13096,-67.66441345
11657,53.7646637
12166,44.43536377
5350,348.0407715
3875,38.93203735
10338,-3.313644409
3106,-114.1573792
12964,-50.42272949
11633,-34.14964294
5502,-72.73764038
4276,-71.3841095
10698,178.8978882
5620,-243.0209198
8895,-197.1429443
6187,133.7540131
3429,-191.2058258
5740,-101.3750305
12770,149.3957367
8149,-199.9211578
9748,-49.62339783
1603,69.45858765
9398,67.81539917
12340,186.3981323
5573,39.09336853
9823,-86.23136902
11563,60.12174988
10087,-9.221542358
5716,159.9108734
11467,78.05404663
8751,-41.91061401
7863,204.9147186
8752,-67.28135681
7556,-256.0195313
900,139.6659546
7632,395.6668854
6900,-47.19337463
3962,-43.32196045
11430,25.08692932
8497,162.9867096
10807,-49.86083984
10865,-64.78652954
4629,-92.00898743
1155,-49.56877136
10142,-109.9503479
8283,-86.22380066
11545,-5.936065674
5891,181.5558472
12092,-129.0137634
13717,-146.4627686
556,5.17489624
1086,7.215011597
10817,96.4447937
8438,-131.0687561
10882,-259.9515991
9947,97.83421326
11860,86.87936401
1501,-244.389389
3709,-137.3919678
7416,-27.65670776
5510,-64.45793152
285,70.54008484
5723,12.32452393
488,125.1664734
4212,291.3926392
13595,174.2650604
11799,146.4726105
11290,-224.0225067
14444,-144.5841064
760,34.95185852
2131,-143.1468811
12064,22.47103882
5677,-73.67436218
7448,-166.3946991
5000,-140.1387482
2908,-131.8613129
7855,136.6951141
11899,73.37490845
14300,-20.44892883
11075,114.6826782
7957,126.4013214
5117,-125.2513123
2772,297.8538208
6313,93.91166687
13597,-147.1315002
5062,139.8985748
6928,54.21340942
4819,133.2462921
1718,-162.0434875
6558,47.57804871
13952,-222.4169159
10455,219.0730286
2,-27.01759338
2240,-178.0998077
6988,7.399551392
9729,-173.8000488
9218,206.6438599
1120,-39.28881836
11265,-138.4589539
9509,112.5559845
2182,5.830657959
14729,113.5716248
14743,70.27217102
12661,13.08396912
744,-223.6657104
4699,144.5406952
11128,182.7943115
7758,-22.15151978
14976,96.83682251
8863,79.92228699
3438,307.8563843
14042,44.2348938
10032,-112.3851471
1641,-19.74456787
9730,-32.4197998
529,-191.1924896
4941,-57.40785217
1365,50.83157349
