id,y
10410,88.79815
718,-193.60005
5931,128.29623
4083,-91.417725
210,-27.525784
6825,102.264755
13348,-263.44412
10458,89.382195
14295,225.62222
196,144.33437
2382,28.16498
5617,-1.4187835
11850,22.983377
1175,-148.67174
6868,45.227333
10347,-179.64029
13946,-90.94989
1974,-53.563766
12776,117.78658
2715,-187.47176
9583,53.842754
742,135.91568
5671,-96.064995
5857,-143.71222
6591,-223.40279
6516,217.13866
9560,162.17517
620,-159.93062
1265,-27.19684
11836,-77.47671
10864,-38.69094
5898,43.03806
12181,-10.996283
8975,128.70195
976,148.2679
14531,-55.38161
1933,84.54186
8460,47.403545
3351,110.01435
9272,-39.044983
10461,-180.5508
3088,68.68617
1870,-216.13342
11306,-87.92314
4802,224.16031
7929,-119.413864
4765,115.15183
932,-170.7082
9719,-67.22141
9199,-304.61133
7654,75.40252
4763,-45.749935
13774,36.777958
4605,-43.575375
2265,61.28781
8992,174.39352
9282,-123.54948
13473,-8.281303
11800,-102.43676
2395,-17.683575
688,54.208782
8364,43.267014
2258,69.56645
5243,51.01993
6855,-73.58473
12287,-6.888693
4715,172.98584
555,-69.545975
12800,79.880226
617,42.758457
12631,37.130558
528,-227.07086
482,-207.03679
14296,-129.67503
12710,-149.19589
10738,-75.78611
12005,379.12625
2300,-96.350494
4421,61.47336
5496,86.89172
10026,257.6998
14394,-43.813053
3681,-173.93373
7256,-13.884755
6075,-58.99247
13184,-85.78462
14964,199.02713
13096,-56.72796
11657,48.216324
12166,56.552032
5350,344.21936
3875,40.912243
10338,-1.2420361
3106,-109.50829
12964,-56.604107
11633,-35.705475
5502,-80.52483
4276,-73.61058
10698,175.34482
5620,-223.49309
8895,-191.53392
6187,132.73436
3429,-182.59659
5740,-99.049416
12770,152.64018
8149,-195.9236
9748,-49.570473
1603,61.47221
9398,66.996544
12340,172.94427
5573,28.29795
9823,-91.99406
11563,52.963196
10087,1.1924101
5716,163.08322
11467,73.36748
8751,-33.95617
7863,200.14261
8752,-67.88754
7556,-264.64178
900,142.55579
7632,387.75787
6900,-24.660425
3962,-50.730057
11430,16.885181
8497,161.60275
10807,-33.595608
10865,-67.17356
4629,-77.76481
1155,-65.08003
10142,-103.45418
8283,-79.8521
11545,0.018404683
5891,142.74478
12092,-130.273
13717,-132.03812
556,5.2407675
1086,14.030077
10817,95.13726
8438,-116.77632
10882,-251.63957
9947,84.13974
11860,91.324005
1501,-235.06694
3709,-138.80264
7416,-28.771883
5510,-29.784443
285,91.33761
5723,18.011507
488,133.5214
4212,284.55295
13595,174.94543
11799,158.08336
11290,-205.26932
14444,-141.67094
760,42.0358
2131,-129.47699
12064,32.45291
5677,-88.718575
7448,-166.54178
5000,-134.86841
2908,-131.1112
7855,144.50287
11899,75.99932
14300,-32.730957
11075,118.20641
7957,136.80151
5117,-134.37404
2772,283.7463
6313,96.456696
13597,-140.76173
5062,166.5042
6928,59.72831
4819,159.75641
1718,-168.03366
6558,70.79167
13952,-227.8061
10455,230.59995
2,-7.4874687
2240,-184.44382
6988,9.593922
9729,-181.87863
9218,221.87723
1120,-35.578953
11265,-149.72992
9509,112.91689
2182,6.4359274
14729,107.280975
14743,74.34198
12661,21.050169
744,-231.95935
4699,145.4307
11128,168.30147
7758,-18.76819
14976,95.088104
8863,89.21473
3438,314.89276
14042,35.26265
10032,-96.90738
1641,-13.220084
9730,-30.55596
529,-173.915
4941,-65.03123
1365,51.83001
8284,40.256996
11391,-118.019005
11510,-27.844791
5490,-176.28639
11879,107.7937
4472,-34.280334
9059,-52.682964
